#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
48,New Zealand,"1,872,459","+2,967","3,144 ",+5,"1,849,572","+2,928","19,743",,"374,335",629,"7,544,063","1,508,179","5,002,100 ",Australia/Oceania,"31,5911",593,1.0,"3,947",
49,Slovakia,"1,853,573",+24,"20,641 ",+6,"1,830,677",+23,"2,255",32,"339,120","3,776","7,337,829","1,342,490","5,465,834 ",Europe,32651,4,1,413,
50,Georgia,"1,785,138",,"16,912 ",,"1,637,293",,"130,933",,"449,516","4,259","16,920,079","4,260,653","3,971,241 ",Asia,22350,,,"32,970",
51,Jordan,"1,746,997",,"14,122 ",,"1,731,007",,"1,868",59,"167,330","1,353","17,201,885","1,647,619","10,440,450 ",Asia,67391,,,179,
52,Ireland,"1,673,681",,"8,028 ",,"1,659,358",+390,"6,295",17,"330,309","1,584","12,789,806","2,524,127","5,067,021 ",Europe,36310,,,"1,242",
53,Pakistan,"1,574,407",+48,"30,627 ",,"1,538,689",,"5,091",49,"6,817",133,"30,570,862","132,373","230,944,730 ",Asia,"1477,5418",0.2,,22,
54,Norway,"1,465,631",,"4,238 ",,"1,459,689",,"1,704",20,"265,486",768,"11,002,430","1,992,996","5,520,549 ",Europe,"41,3031",,,309,
55,Kazakhstan,"1,395,000",+20,"13,692 ",,"1,380,356",,952,24,"72,269",709,"11,575,012","599,650","19,302,962 ",Asia,"141,4102",1,,49,
56,Finland,"1,360,721",,"6,741 ",,"1,319,910","+2,153","34,070",21,"244,695","1,212","11,684,973","2,101,283","5,560,876 ",Europe,48250,,,"6,127",
57,Bulgaria,"1,281,252",,"37,920 ",,"1,233,734",,"9,598",60,"187,700","5,555","10,729,979","1,571,916","6,826,051 ",Europe,51801,,,"1,406",
58,Lithuania,"1,269,806",+26,"9,401 ",+1,"1,253,465","+1,163","6,940",7,"482,181","3,570","10,230,481","3,884,804","2,633,461 ",Europe,22800,10,0.4,"2,635",
59,Morocco,"1,265,998",,"16,282 ",,"1,249,284",,432,293,"33,372",429,"12,682,308","334,311","37,935,659 ",Africa,"302,3303",,,11,
60,Croatia,"1,248,609",,"17,191 ",,"1,229,414",,"2,004",12,"308,602","4,249","5,318,165","1,314,419","4,046,021 ",Europe,32351,,,495,
61,Slovenia,"1,237,884",,"6,893 ",,"1,218,873",,"12,118",17,"595,249","3,315","2,770,312","1,332,132","2,079,607 ",Europe,23021,,,"5,827",
62,Lebanon,"1,219,141",,"10,713 ",,"1,087,587",,"120,841",74,"180,509","1,586","4,795,578","710,045","6,753,904 ",Asia,66301,,,"17,892",
63,Tunisia,"1,146,593",,"29,259 ",,N/A,N/A,N/A,101,"94,694","2,416","4,966,900","410,204","12,108,366 ",Africa,114142,,,606,
64,Guatemala,"1,142,521",,"19,906 ",,"1,121,501",,"1,114",5,"61,123","1,065","6,129,868","327,936","18,692,261 ",North America,169393,,,60,
65,Costa Rica,"1,138,416",,"9,009 ",,"860,711",,"268,696",52,"218,796","1,731","4,659,757","895,573","5,203,100 ",North America,55781,,,"51,642",
66,Cuba,"1,111,296",,"8,530 ",,"1,102,695",,71,23,"98,254",754,"14,184,566","1,254,114","11,310,429 ",North America,"101,3261",,,6,
67,Bolivia,"1,109,613",+12,"22,240 ",,"1,071,518",+530,"15,855",220,"92,114","1,846","2,705,422","224,588","12,046,138 ",South America,115424,1.0,,"1,316",
68,UAE,"1,039,353",,"2,348 ",,"1,018,408",,"18,597",,"102,194",231,"196,040,930","19,275,634","10,170,401 ",Asia,"104,3320",,,"1,829",
69,Ecuador,"1,009,044",,"35,934 ",,"971,619",+631,"1,491",759,"55,227","1,967","3,082,403","168,706","18,270,867 ",South America,185086,,,82,
70,Nepal,"1,000,734",,"12,019 ",,"988,145",,570,,"32,957",396,"5,962,970","196,377","30,364,978 ",Asia,"302,5265",,,19,
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,278",754,"13,646,641","1,445,306","9,442,045 ",Europe,"91,3271",,,141,
72,Uruguay,"990,560",,"7,518 ",,"982,103",,939,18,"282,862","2,147","6,114,822","1,746,132","3,501,925 ",South America,44661,,,268,
73,Panama,"990,413",,"8,509 ",,"980,898",,"1,006",16,"221,374","1,902","7,164,655","1,601,420","4,473,939 ",North America,55261,,,225,
74,Mongolia,"985,445",,"2,179 ",,"982,074",,"1,192",192,"289,666",641,"4,030,048","1,184,609","3,402,008 ",Asia,"31,5611",,,350,
75,Latvia,"954,953",+77,"6,064 ",,"942,570","+1,070","6,319",3,"519,726","3,300","7,746,372","4,215,903","1,837,417 ",Europe,23030,42,,"3,439",
76,Saudi Arabia,"823,624",,"9,418 ",,"809,961",,"4,245",77,"22,825",261,"44,665,757","1,237,813","36,084,417 ",Asia,"443,8311",,,118,
77,Azerbaijan,"823,533",,"9,957 ",,"813,289",,287,,"79,543",962,"7,333,142","708,291","10,353,285 ",Asia,"131,0401",,,28,
78,Paraguay,"717,980",,"19,606 ",,"698,317",,57,7,"97,846","2,672","2,657,506","362,165","7,337,829 ",South America,103743,,,8,
79,Bahrain,"691,760",,"1,529 ",,"688,084",,"2,147",3,"375,903",831,"10,511,697","5,712,062","1,840,263 ",Asia,"31,2040",,,"1,167",
80,Sri Lanka,"671,328",,"16,782 ",,"654,440",,106,,"31,046",776,"6,486,117","299,956","21,623,536 ",Asia,"321,2883",,,5,
81,Kuwait,"662,073",,"2,568 ",,"659,017",,488,3,"149,839",581,"8,416,379","1,904,774","4,418,572 ",Asia,"71,7211",,,110,
82,Dominican Republic,"647,205",,"4,384 ",,"642,571",,250,4,"58,292",395,"3,657,057","329,382","11,102,781 ",North America,"172,5333",,,23,
83,Myanmar,"632,274",,"19,485 ",,"606,485",,"6,304",,"11,441",353,"9,467,794","171,319","55,264,246 ",Asia,"872,8366",,,114,
84,Palestine,"620,816",,"5,404 ",,"614,962",,450,17,"115,407","1,005","3,078,533","572,284","5,379,379 ",Asia,99952,,,84,
85,Estonia,"607,230",,"2,748 ",,"524,990",,"79,492",6,"457,037","2,068","3,579,101","2,693,840","1,328,624 ",Europe,24830,,,"59,830",
86,Cyprus,"602,662",,"1,200 ",,"592,342",,"9,120",60,"490,788",977,"9,640,118","7,850,591","1,227,948 ",Asia,"21,0230",,,"7,427",
87,Moldova,"593,816",,"11,894 ",,"504,142",,"77,780",49,"148,009","2,965","3,216,305","801,668","4,012,015 ",Europe,73371,,,"19,387",
88,Venezuela,"546,110",,"5,823 ",,"539,678",,609,36,"19,333",206,"3,359,014","118,914","28,247,333 ",South America,"524,8518",,,22,
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,826",230,"3,693,367","34,563","106,857,933 ",Africa,"2074,34229",,,457,
90,Libya,"507,051",,"6,437 ",,"500,571",,43,,"71,514",908,"2,483,005","350,200","7,090,240 ",Africa,"141,1013",,,6,
91,Ethiopia,"494,042",,"7,572 ",,"472,146",,"14,324",,"4,062",62,"5,325,981","43,785","121,638,612 ",Africa,"24616,06423",,,118,
92,Réunion,"474,111",,899 ,,"418,572",,"54,640",10,"520,841",988,"1,603,660","1,761,722","910,280 ",Africa,"21,0131",,,"60,025",
93,Qatar,"471,816",+459,684 ,,"469,551",+332,"1,581",2,"168,037",244,"4,052,915","1,443,446","2,807,805 ",Asia,"64,1051",163,,563,
94,Honduras,"457,196",,"11,039 ",,N/A,N/A,N/A,105,"44,501","1,074","1,549,348","150,806","10,273,768 ",North America,229317,,,"30,526",
95,Armenia,"445,242",,"8,709 ",,"434,288",,"2,245",,"149,600","2,926","3,228,468","1,084,757","2,976,213 ",Asia,73421,,,754,
96,Bosnia and Herzegovina,"400,043",,"16,180 ",,"377,828",,"6,035",,"123,735","5,005","1,875,348","580,053","3,233,062 ",Europe,82002,,,"1,867",
97,Oman,"398,775",,"4,260 ",,"384,669",,"9,846",2,"73,696",787,"25,000,000","4,620,164","5,411,063 ",Asia,"141,2700",,,"1,820",
98,North Macedonia,"344,146",,"9,564 ",,"334,335",,247,,"165,203","4,591","2,141,032","1,027,774","2,083,174 ",Europe,62181,,,119,
99,Kenya,"339,756",,"5,678 ",,"333,292",,786,1,"6,008",100,"3,924,412","69,400","56,547,434 ",Africa,"1669,95914",,,14,
100,Zambia,"333,685",,"4,017 ",,"329,652",,16,,"17,033",205,"3,750,980","191,465","19,590,920 ",Africa,"594,8775",,,0.8,
101,Albania,"333,055",,"3,592 ",,"327,864",,"1,599",,"116,029","1,251","1,941,032","676,214","2,870,440 ",Europe,97991,,,557,
102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"132,503","1,133","2,026,898","822,968","2,462,912 ",Africa,88831,,,243,
